url1,url2,similarity
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Content_marketing,0.812
https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,https://en.wikipedia.org/wiki/SD-WAN,0.86
